,aircraftRegistration,Luchthaven,Stad,Land,flightName
795,PHBXW,Schwechat Intl,Wenen,Oostenrijk,DL9269
796,PHBXW,Schwechat Intl,Wenen,Oostenrijk,GA9535
797,PHBXW,Schwechat Intl,Wenen,Oostenrijk,KQ1838
798,PHBXW,Schwechat Intl,Wenen,Oostenrijk,MF9715
799,PHBXW,Schwechat Intl,Wenen,Oostenrijk,SK6771
800,PHBXW,Schwechat Intl,Wenen,Oostenrijk,KL1900
801,PHBXW,Schwechat Intl,Wenen,Oostenrijk,AM6262
802,PHHSD,Heathrow,Londen,Verenigd Koninkrijk,KL1000
803,PHHSD,Heathrow,Londen,Verenigd Koninkrijk,CI9362
804,PHHSD,Heathrow,Londen,Verenigd Koninkrijk,CZ7660
805,PHHSD,Heathrow,Londen,Verenigd Koninkrijk,DL9577
806,PHHSD,Heathrow,Londen,Verenigd Koninkrijk,G35589
807,PHHSD,Heathrow,Londen,Verenigd Koninkrijk,MF9635
808,PHHSD,Heathrow,Londen,Verenigd Koninkrijk,VS7046
815,OEIZN,Malpensa,Milaan,Italië,EJU3851
825,HBIJM,Zurich Airport,Zurich,Zwitserland,LX724
831,PHEZW,Brussels,Brussel,België,DL9464
832,PHEZW,Brussels,Brussel,België,GA9243
833,PHEZW,Brussels,Brussel,België,KQ1722
834,PHEZW,Brussels,Brussel,België,MF9354
835,PHEZW,Brussels,Brussel,België,MH5658
836,PHEZW,Brussels,Brussel,België,MU1834
837,PHEZW,Brussels,Brussel,België,KL1702
838,PHEZW,Brussels,Brussel,België,AM6374
871,OEIDS,Brandenburg,Berlijn,Duitsland,EJU5282
881,OELBI,Schwechat Intl,Wenen,Oostenrijk,OS371
883,GEUYL,Heathrow,Londen,Verenigd Koninkrijk,BA428
899,GEZOA,Luton,Londen,Verenigd Koninkrijk,EZY2512
922,PHBGB,Ruzyne,Praag,Tsjechië,KL1353
923,PHBGB,Ruzyne,Praag,Tsjechië,CI9491
924,PHBGB,Ruzyne,Praag,Tsjechië,DL9287
925,PHBGB,Ruzyne,Praag,Tsjechië,GA9476
926,PHBGB,Ruzyne,Praag,Tsjechië,KQ1355
938,PHBGF,Provence,Marseille,Frankrijk,DL9304
939,PHBGF,Provence,Marseille,Frankrijk,SK6748
940,PHBGF,Provence,Marseille,Frankrijk,KL1465
941,PHBGF,Provence,Marseille,Frankrijk,AF3181
942,PHAXD,Zurich Airport,Zurich,Zwitserland,KL1919
943,PHAXD,Zurich Airport,Zurich,Zwitserland,CZ7707
944,PHAXD,Zurich Airport,Zurich,Zwitserland,DL9427
945,PHAXD,Zurich Airport,Zurich,Zwitserland,KQ1957
946,PHAXD,Zurich Airport,Zurich,Zwitserland,MF9726
947,PHAXD,Zurich Airport,Zurich,Zwitserland,MH5691
948,PHAXD,Zurich Airport,Zurich,Zwitserland,SK6670
949,PHEXS,Luxembourg,Luxemburg,Luxemburg,KL1709
950,PHEXS,Luxembourg,Luxemburg,Luxemburg,DL9353
951,PHEXS,Luxembourg,Luxemburg,Luxemburg,KQ1741
952,PHEZY,London City Airport,Londen,Verenigd Koninkrijk,KL0983
953,PHEZY,London City Airport,Londen,Verenigd Koninkrijk,DL9345
954,PHEZY,London City Airport,Londen,Verenigd Koninkrijk,VS7036
958,PHNXF,Hamburg Airport,Hamburg,Duitsland,MU1607
959,PHNXF,Hamburg Airport,Hamburg,Duitsland,KL1753
960,PHNXF,Hamburg Airport,Hamburg,Duitsland,CZ7666
961,PHNXF,Hamburg Airport,Hamburg,Duitsland,DL9541
962,PHNXF,Hamburg Airport,Hamburg,Duitsland,KQ1781
967,PHEZO,Brussels,Brussel,België,MH5683
968,PHEZO,Brussels,Brussel,België,KL1703
969,PHEZO,Brussels,Brussel,België,DL9607
970,PHEZO,Brussels,Brussel,België,GA9220
971,PHEZO,Brussels,Brussel,België,KQ1723
972,PHEZO,Brussels,Brussel,België,MF9355
973,OELQS,Gatwick,Londen,Verenigd Koninkrijk,EJU8674
974,GLCAG,London City Airport,Londen,Verenigd Koninkrijk,BA8497
982,PHBXD,Münich International,München,Duitsland,KL1851
983,PHBXD,Münich International,München,Duitsland,CZ7694
984,PHBXD,Münich International,München,Duitsland,DL9370
985,PHBXD,Münich International,München,Duitsland,GA9228
986,PHBXD,Münich International,München,Duitsland,KQ1791
987,PHBXD,Münich International,München,Duitsland,MF9684
988,PHBXD,Münich International,München,Duitsland,MU1595
989,PHBXD,Münich International,München,Duitsland,SK6660
