,Unnamed: 0,Time,Latitude,Longitude,Course,Speed_kts,Speed_mph,Altitude_feet,ClimbRate,ReportingFacility,FlightType,FlightNumber,ScrapeTime,cumsum_ClimbRate,alt_norm
1189,19080,Mon 08:28:48 AM,50.4349,3.2305,↑ 19°,418.0,481.0,"26,000",0.0,FlightAware ADS-B (LIL / LFQQ),Arrivals,HOP1740,2025-03-24 14:11:45,60099.0,0.6938660403876026
1190,19081,Mon 08:29:18 AM,50.4874,3.258,↑ 19°,416.0,479.0,"26,000",0.0,FlightAware ADS-B (EHVB),Arrivals,HOP1740,2025-03-24 14:11:45,60099.0,0.6938660403876026
1191,19082,Mon 08:29:48 AM,50.5438,3.2877,↑ 19°,415.0,478.0,"26,000",0.0,FlightAware ADS-B (EBBL),Arrivals,HOP1740,2025-03-24 14:11:45,60099.0,0.6938660403876026
1192,19083,Mon 08:30:18 AM,50.5968,3.3156,↑ 19°,415.0,478.0,"26,000",0.0,FlightAware ADS-B (LIL / LFQQ),Arrivals,HOP1740,2025-03-24 14:11:45,60099.0,0.6938660403876026
1193,19084,Mon 08:30:48 AM,50.6508,3.3441,↑ 19°,414.0,476.0,"26,000",0.0,FlightAware ADS-B (EGSL),Arrivals,HOP1740,2025-03-24 14:11:45,60099.0,0.6938660403876026
1194,19085,Mon 08:31:18 AM,50.7069,3.3739,↑ 19°,414.0,476.0,"26,000",0.0,FlightAware ADS-B (AMS / EHAM),Arrivals,HOP1740,2025-03-24 14:11:45,60099.0,0.6938660403876026
1195,19086,Mon 08:31:35 AM,50.7363,3.3894,↑ 19°,411.0,473.0,"26,000",0.0,FlightAware ADS-B (BRU / EBBR),Arrivals,HOP1740,2025-03-24 14:11:45,60099.0,0.6938660403876026
1196,19087,Mon 08:32:05 AM,50.7896,3.4178,↑ 19°,412.0,474.0,"26,000",0.0,FlightAware ADS-B (EHDL),Arrivals,HOP1740,2025-03-24 14:11:45,60099.0,0.6938660403876026
1197,19088,Mon 08:32:35 AM,50.8436,3.4466,↑ 19°,410.0,472.0,"26,000",0.0,FlightAware ADS-B (CQF / LFAC),Arrivals,HOP1740,2025-03-24 14:11:45,60099.0,0.6938660403876026
1198,19089,Mon 08:33:09 AM,50.9057,3.4798,↑ 19°,408.0,470.0,"26,000",0.0,FlightAware ADS-B (EBSL),Arrivals,HOP1740,2025-03-24 14:11:45,60099.0,0.6938660403876026
1199,19090,Mon 08:33:26 AM,50.9349,3.4955,↑ 19°,408.0,470.0,"26,000",-957.0,FlightAware ADS-B (EHMZ),Arrivals,HOP1740,2025-03-24 14:11:45,59142.0,0.6850173829425253
1200,19091,Mon 08:33:56 AM,50.9873,3.5235,↑ 19°,405.0,466.0,"25,250",-1347.0,FlightAware ADS-B (EIN / EHEH),Arrivals,HOP1740,2025-03-24 14:11:45,57795.0,0.6725626895480435
1201,19092,Mon 08:34:15 AM,51.0217,3.542,↑ 19°,399.0,459.0,"24,900",-633.0,FlightAware ADS-B (QUY / EGUY),Arrivals,HOP1740,2025-03-24 14:11:45,57162.0,0.6667098158147792
1202,19093,Mon 08:35:00 AM,51.1008,3.5846,↑ 19°,399.0,459.0,"24,575",-420.0,FlightAware ADS-B (AMS / EHAM),Arrivals,HOP1740,2025-03-24 14:11:45,56742.0,0.6628263924846513
1203,19094,Mon 08:35:30 AM,51.1523,3.6128,↑ 20°,397.0,457.0,"24,375",-1050.0,FlightAware ADS-B (LFQL),Arrivals,HOP1740,2025-03-24 14:11:45,55692.0,0.6531178341593313
1204,19095,Mon 08:36:00 AM,51.2031,3.6446,↗ 23°,391.0,450.0,"23,525",-1825.0,FlightAware ADS-B (CQF / LFAC),Arrivals,HOP1740,2025-03-24 14:11:45,53867.0,0.6362434351653229
1205,19096,Mon 08:36:30 AM,51.2552,3.68,↗ 23°,385.0,443.0,"22,550",-1898.0,FlightAware ADS-B (BRU / EBBR),Arrivals,HOP1740,2025-03-24 14:11:45,51969.0,0.6186940602115542
1206,19097,Mon 08:36:49 AM,51.2843,3.6998,↗ 23°,384.0,442.0,"21,975",-1776.0,FlightAware ADS-B (BRU / EBBR),Arrivals,HOP1740,2025-03-24 14:11:45,50193.0,0.6022727272727273
1207,19098,Mon 08:37:19 AM,51.3308,3.7315,↗ 23°,382.0,440.0,"21,100",-1850.0,FlightAware ADS-B (EHMZ),Arrivals,HOP1740,2025-03-24 14:11:45,48343.0,0.585167172128116
1208,19099,Mon 08:37:49 AM,51.3826,3.7668,↗ 23°,376.0,433.0,"20,125",-1825.0,FlightAware ADS-B (ESS / EDLE),Arrivals,HOP1740,2025-03-24 14:11:45,46518.0,0.5682927731341075
1209,19100,Mon 08:38:19 AM,51.4274,3.7973,↗ 23°,360.0,414.0,"19,275",-1725.0,FlightAware ADS-B (EGSR),Arrivals,HOP1740,2025-03-24 14:11:45,44793.0,0.5523429987425106
1210,19101,Mon 08:38:49 AM,51.473,3.8284,↗ 23°,339.0,390.0,"18,400",-1700.0,FlightAware ADS-B (EBGB),Arrivals,HOP1740,2025-03-24 14:11:45,43093.0,0.5366243805015164
1211,19102,Mon 08:39:19 AM,51.5156,3.8576,↗ 23°,328.0,377.0,"17,575",-1650.0,FlightAware ADS-B (EGSQ),Arrivals,HOP1740,2025-03-24 14:11:45,41443.0,0.521368074561728
1212,19103,Mon 08:39:49 AM,51.5587,3.8872,↗ 23°,327.0,376.0,"16,750",-1579.0,FlightAware ADS-B (BRU / EBBR),Arrivals,HOP1740,2025-03-24 14:11:45,39864.0,0.5067682520896516
